Complaint.Type,SeverityLevel
Bed Bugs,5
Blocked/Locked Exits,3
Blue Bin: request new BB,1
Building W/O Permit,4
Bulk Household Items,2
Cert of Use - Bar,3
Cert of Use - Drug Store,3
Cert of Use - Food Store,3
Cert of Use - Restaurant,3
CleanUp Rqst: Public Prop,1
Complaint Reqst - General,3
Const/Demo Debris: Req PU,4
Construction Site Safety,5
Corners Need Snow Removal,2
Demolition,5
Electrical Hazard,4
Faulty Equipment,4
Fire Alarm,4
Fire Safety,5
Graffiti: PrivateProperty,1
Graffiti: Public Property,1
Heating,3
Illegal Trash Set Out,2
Improper storage,2
Infestation,5
Lock Box,3
Medical Waste-P/U Refused,4
No Smoke Detectors,4
Other (FPB),3
Outdoor/Illegal Burning,2
Over Capacity (Assembly),3
Overgrown Veg - Public,2
"Overgrowth: Private, Occ",2
Preventative Code Enforce,2
Property Maintenance-Ext,3
Property Maintenance-Int,3
Repair Creek Fencing,1
Sanitation/Special Reqst,3
Sewer Back Up,3
Sprinkler System,4
Structural Issues,4
Suppression-not sprinkler,3
Tenant Safety Concerns,5
"Trash/Debris-Private, Occ",2
Tree Inspect/Problem Req,3
Tree/Limb/Stump Removal,3
Unsafe Conditions,5
Vacant House Open toEntry,3
Vacant Lot: Overgrown,2
Vacant Lot: Trash/Debris,2
Vacant Structure Hazard,5
Vacant: Illegal Occupancy,5
Water Shop:All Complaints,3
Yard Waste,2
Zoning Violations,2
