Row Labels,Total,Severity
Section 305.3 - Interior surfaces,3216,2
Section 27-72 (f) - Overgrowth,3186,1
Section 27-72 (e) -Trash & Debris,3018,1
Section 504.1 - General,2006,2
Section 308.1 - Infestation,1847,4
Section 27-32 (d) Protective coating for wood surfaces,1707,2
Section 305.1 - General,1707,2
Section 27-31 (c) Structural members,1628,4
"Section 304.13 - Window, skylight and door frames",1453,3
"Section 27-32 (b) Stairs, porches and railings",1341,3
Section 603.1 - Mechanical appliances,1313,4
Section 704.2 - Smoke alarms,1299,5
Section 304.15 - Doors,1243,3
Section 705.1 - General,1053,2
Section 27-57 (a) (19) - Switch/Outlet is Damaged/ Unserviceable,1014,3
Section 107.1.3 - Premises Unfit for Human Occupancy,1008,5
Section 27-116 (E) - Failure to apply for and obtain the Vacant Property Registry ,863,2
Section 305.4 - Stairs and walking surfaces,852,4
"Section 304.10 - Stairways, decks, porches and balconies",820,3
Section 304.13.1- Glazing,782,2
Section 305.6 - Interior doors,702,2
Section 14-22 - Excessive trash & debris,681,3
Section 109.1 - Administration and Enforcement,677,2
Section 304.2 - Protective Treatment,566,2
Section 304.7 - Roofs and drainage,541,4
Section 27-57 (a) (16)  - Receptacle Outlet/Switch Lacks Cover,540,3
Section 307.1 - Accumulation of rubbish and garbage,532,3
Section 14-14 - Improper Containerization,474,1
Section 27-57 (a) (2) - Electrical Wiring and Equipment,472,4
Section 602.3 - Heat supply,472,5
Section 304.13.2 - Openable windows,461,3
Section 27-23 (e) Upholstered Furniture,427,1
Section 605.1 - Installation,425,3
Section 505.3 - Supply,392,2
Section 304.6 - Exterior walls,355,3
Section 14-18 - Improper separation of waste,354,1
Section 304.8 - Decorative features,338,1
Section 304.12 - Handrails and guards,328,2
Section 107.1.3 - Structure Unfit for Human Occupancy,325,5
Section 27-74 (c) Screens,324,1
Section 505.1- General,315,2
Section 506.2 - Maintenance,315,2
"Section 27-72 - Lawn, bushes and hedges overgrown spc",300,2
Section 308.4 - Multiple Occupancy,286,4
Section 14-18 - Early or late set out of trash,271,1
Section 502.1 - Dwelling units ,262,2
Section 505.4 - Water heating facilities,233,5
Section 305.5 - Handrails and guards,226,2
Section Z-B-1 - Illegal Land Use,219,3
Section 302.4 - Weeds,215,1
